Z =0.9529441000427533
norm_productive =0.2442847269027897
likelihood_train,likelihood_test
-0.10042425990104675,-0.14248226583003998
-0.1691160798072815,-0.1850045770406723
-0.2093382477760315,-0.2141483575105667
-0.23815901577472687,-0.23786790668964386
-0.2619670033454895,-0.25792500376701355
-0.2841632068157196,-0.27608582377433777
-0.3030283749103546,-0.2919084131717682
-0.32002636790275574,-0.30633461475372314
-0.3327392637729645,-0.3188401460647583
-0.3489859700202942,-0.33037301898002625
-0.3611597418785095,-0.3417774736881256
-0.37346088886260986,-0.3514440953731537
-0.3843005299568176,-0.3605400323867798
-0.393838495016098,-0.3685995936393738
-0.40187162160873413,-0.3762623071670532
-0.41234090924263,-0.3832724988460541
-0.41774195432662964,-0.3896743357181549
-0.42663630843162537,-0.3951461613178253
-0.4339737892150879,-0.400542676448822
-0.4396314024925232,-0.40584850311279297
