Feature,Energy,Marginal_data,Marginal_model,Marginal_gen
l1,-0.026292074,0.0,0.0,0.0
l2,-0.052838415,0.0,0.0,0.0
l3,-0.21057662,8.636398967086683e-06,0.0,0.0
l4,0.7040482,5.18183938025201e-05,9.660369834108886e-06,0.0004519715459442031
l5,2.103291,0.00012090958553921357,0.00018538239783356535,0.0023692521166374467
l6,0.26931366,0.0009500038863795351,0.0007527761615036147,0.006612602809132704
l7,0.3909088,0.009301401687552358,0.00849590102887701,0.01559733653455855
l8,1.421442,0.004516836659786336,0.005123057604416456,0.03563953973751105
l9,0.6765658,0.007729577075542581,0.008193905692868661,0.09197764899947318
l10,-0.21853893,0.10203041739716208,0.1072793496556682,0.1744063195410042
l11,-0.43858224,0.5851505756159912,0.5860625993570753,0.24494842630416822
l12,0.037583895,0.22414909879176778,0.218987252292513,0.20990479809538615
l13,0.2408743,0.06073979393552065,0.05942689554458289,0.11456183229840486
l14,0.4593785,0.0045082002608192485,0.00472326188998245,0.051953697386337795
l15,0.6949696,0.0004577291452555942,0.0005211919180876658,0.025402528161857632
l16,0.32075453,0.00012090958553921357,8.376183520219258e-05,0.014431422674001848
l17,0.37857988,0.00012090958553921357,0.00014624636825717684,0.007605788690347673
l18,0.4408264,2.590919690126005e-05,3.3065321720643e-06,0.0028903148543183432
l19,1.2305306,0.0,5.8934242920774135e-08,0.0008780338949871462
l20,0.048511762,1.7272797934173366e-05,5.366209350601346e-06,0.00026484956832399165
l21,0.56702936,0.0,1.9912145961583936e-08,7.196999139238903e-05
l22,0.25180548,0.0,4.7359511190091766e-09,2.0151597589868927e-05
l23,0.06161435,0.0,1.3889595500299392e-09,8.636398967086683e-06
l24,0.08510355,0.0,1.703987282735987e-10,2.878799655695561e-06
l25,-0.065873675,0.0,0.0,0.0
l26,0.007264681,0.0,0.0,0.0
l27,0.03269954,0.0,0.0,0.0
l28,0.03178429,0.0,0.0,0.0
l29,-0.05933326,0.0,0.0,0.0
l30,-0.0157223,0.0,0.0,0.0
aA0,0.03286116,0.0,0.0,0.0
aA1,-0.067586854,0.0,0.0,0.0
aA2,-1.1493158,0.00013818238347338693,0.0,0.0
aA3,0.20154162,0.08355716000656366,0.08680701046829584,0.08754429752970201
aA4,-0.492337,0.00346319598580176,0.003244282540542672,0.00948852366517257
aA5,-0.83496135,0.0029881940426119925,0.003364912139847794,0.0012321262526377
aA6,-0.32070103,0.023413277599772,0.023280923512958532,0.021020995085888988
aA7,0.4003806,0.005086838991614056,0.005465481051025843,0.00656366321498588
aA8,0.024155559,0.0140082391246146,0.014695803917503874,0.023142670432136615
aA9,-0.50646955,0.02296418485348349,0.02271601995477001,0.02074175151928652
aA10,-0.039794624,0.002996830441579079,0.0028821220700692768,0.008823520944706896
aA11,0.028181344,0.0005009111400910277,0.000497933766001547,0.004116683507644652
aA12,0.8123374,4.318199483543342e-05,4.246428277607094e-05,0.0022397061321311465
aA13,0.6656896,1.7272797934173366e-05,1.3500419854189345e-05,0.0012119746550478313
aA14,1.2550907,0.0,5.158140623483284e-06,0.0005037899397467232
aA15,0.51890236,0.0,1.3284672003934643e-06,0.00013242478416199583
aA16,0.7851465,0.0,3.238936587628904e-08,7.196999139238903e-05
aA17,0.25434154,0.0,1.8871045252197273e-09,1.4393998278477807e-05
aA18,0.032664403,0.0,1.2852436887666985e-10,2.878799655695561e-06
aA19,0.0026203478,0.0,1.2852436887666985e-10,2.878799655695561e-06
aA20,-0.027365642,0.0,1.2852436887666985e-10,2.878799655695561e-06
aA21,-0.022453591,0.0,0.0,0.0
aA22,-0.009331327,0.0,0.0,0.0
aA23,0.048398405,0.0,0.0,0.0
aA24,0.031577654,0.0,0.0,0.0
aA-25,-0.042044006,0.0,0.0,0.0
aA-24,0.015654795,0.0,0.0,0.0
aA-23,-0.0072063617,0.0,0.0,0.0
aA-22,-0.060597256,0.0,0.0,0.0
aA-21,0.11224999,0.0,1.703987282735987e-10,2.878799655695561e-06
aA-20,0.007238269,0.0,1.1319108122765993e-09,2.878799655695561e-06
aA-19,0.03073286,0.0,1.2852436887666985e-10,2.878799655695561e-06
aA-18,0.11715538,0.0,1.3324995387208526e-09,2.878799655695561e-06
aA-17,0.4018748,0.0,2.946343874123851e-07,2.3030397245564488e-05
aA-16,0.48601434,0.0,6.435886601188806e-09,7.772759070378016e-05
aA-15,1.0534481,0.0,1.622614251683041e-07,0.0002015159758986893
aA-14,2.0901349,0.0,2.5902233568720054e-06,0.0006419723232201102
aA-13,2.429608,0.0,5.522232424118819e-07,0.0012090958553921357
aA-12,1.0776917,2.590919690126005e-05,1.4389251931404556e-05,0.0022022817366071042
aA-11,1.0354674,0.00012090958553921357,9.08049068012156e-05,0.004165623101791477
aA-10,0.58820707,0.0016495522027135565,0.0016432570412421726,0.009459735668615615
aA-9,-0.121387154,0.011469137828291115,0.011207070976880193,0.018657500568562933
aA-8,-0.14718126,0.05947887968632599,0.06122991580159024,0.025462982954627237
aA-7,-0.017365895,0.01333460000518184,0.014569961372705841,0.024446766676166704
aA-6,-0.21395297,0.005510022541001304,0.006245929958010375,0.01980614163118546
aA-5,-0.38341266,0.02046826555199544,0.02028892581817351,0.01783992146634539
aA-4,0.20965901,0.01885325894515023,0.0193184219946078,0.03590726810549073
aA-3,0.7600469,0.005708659717244297,0.005536098648502769,0.011506562223815159
aA-2,-0.79034173,0.02255827410203042,0.022855327722502934,0.014298997889839852
aA-1,2.5557327,0.0,1.3263358932665165e-05,0.0009384886877567529
aC0,0.060149856,1.0,1.0,1.0
aC1,-0.060419813,0.0,0.0,0.0
aC2,-0.0007947907,8.636398967086683e-06,0.0,0.0
aC3,-2.2134387,0.003635923965143494,0.002267055997361896,0.0007139423146124992
aC4,-1.0652822,0.0007945487049719748,0.0010076259596473174,0.00036560755627333626
aC5,0.39571923,0.00015545518140756031,0.00027235248705788427,0.0004318199483543342
aC6,0.47459856,0.0008981854925770151,0.0007529756818835884,0.006929270771259216
aC7,0.47907743,0.0009327310884453618,0.000986954799707031,0.0023519793187032735
aC8,0.17367382,0.005648204924474691,0.005610268147818366,0.007326545123745204
aC9,-0.1343284,0.004439109069082556,0.0043204702030943225,0.007041543957831343
aC10,0.15416573,0.0022800093273108845,0.0022086872276960426,0.0042692598893965174
aC11,0.57905877,0.0001986371762429937,0.0002069588866103088,0.0019719777641514593
aC12,2.346032,0.0,2.259440435220768e-06,0.0009672766843137085
aC13,1.7564406,0.0,1.5860055224766331e-06,0.00042606234904294304
aC14,1.4215138,0.0,4.1344960623162893e-07,0.000236061571767036
aC15,0.7044863,0.0,8.691423184921898e-08,9.500038863795352e-05
aC16,0.19241492,0.0,1.4786395554541866e-09,2.3030397245564488e-05
aC17,0.026978232,0.0,1.207455042007556e-09,5.757599311391122e-06
aC18,0.012661005,0.0,1.2852436887666985e-10,2.878799655695561e-06
aC19,-0.015571885,0.0,0.0,0.0
aC20,0.051322922,0.0,0.0,0.0
aC21,-0.026938125,0.0,0.0,0.0
aC22,-0.03856252,0.0,0.0,0.0
aC23,0.06470463,0.0,0.0,0.0
aC24,0.02809421,0.0,0.0,0.0
aC-25,0.00114429,0.0,0.0,0.0
aC-24,0.069132686,0.0,1.703987282735987e-10,2.878799655695561e-06
aC-23,0.025304886,0.0,1.3889595500299392e-09,8.636398967086683e-06
aC-22,0.32922608,0.0,4.7359511190091766e-09,2.0151597589868927e-05
aC-21,0.5713633,0.0,1.9912145961583936e-08,7.196999139238903e-05
aC-20,0.061221164,1.7272797934173366e-05,5.366209350601346e-06,0.00026484956832399165
aC-19,1.3187879,0.0,5.8934242920774135e-08,0.0008780338949871462
aC-18,0.4601809,2.590919690126005e-05,3.3065321720643e-06,0.0028903148543183432
aC-17,0.3331845,0.00012090958553921357,0.00014624636825717684,0.007605788690347673
aC-16,0.31761545,0.00012090958553921357,8.376183520219258e-05,0.014431422674001848
aC-15,0.64840704,0.0004577291452555942,0.0005211919180876658,0.025402528161857632
aC-14,0.4430085,0.0045082002608192485,0.00472326188998245,0.051953697386337795
aC-13,0.1988932,0.06073979393552065,0.059426895673107265,0.11456471109806056
aC-12,0.05008536,0.22414909879176778,0.21898742691402223,0.209924949692976
aC-11,-0.32642296,0.5851592120149582,0.5860626119539775,0.24497721430072517
aC-10,-0.33325553,0.10222041817443799,0.10731466288787384,0.17447541073274087
aC-9,0.07980972,0.008480943785679124,0.008366649962761733,0.09220507417227312
aC-8,-0.49059728,0.006969573966438954,0.006407221683630403,0.03612893567897929
aC-7,-0.0155983325,0.010277314770833153,0.009655840772599891,0.016501279626446957
aC-6,0.3129184,0.0012090958553921357,0.0011624168311376933,0.008455034588777863
aC-5,1.3473408,0.0006909119173669347,0.0007585652325085301,0.006405329233922624
aC-4,1.9110439,0.0003627287566176407,0.00048206616722955124,0.004804716625355892
aC-3,-0.15020098,0.013135962828938846,0.013103222016907343,0.016247945256745746
aC-2,1.5002028,0.00034545595868346735,0.00041895416206053906,0.004421836271148382
aC-1,2.0657396,0.0,7.943862648048706e-06,0.0005153051383695055
aD0,0.012197889,0.0,0.0,0.0
aD1,-0.0043566898,0.0,0.0,0.0
aD2,-1.0233719,0.0001036367876050402,0.0,0.0
aD3,0.61710155,0.0074445759096287215,0.00841497305494666,0.014667484245768884
aD4,0.10207994,0.06467799186451217,0.06183227674445415,0.10267526852003789
aD5,-2.4062383,0.011624593009698677,0.004961640406111913,0.0006419723232201102
aD6,0.81510663,0.001986371762429937,0.0025034222381735928,0.008590338172595555
aD7,1.4759437,0.00027636476694677386,0.00045590472642404475,0.002697435277386741
aD8,0.7808944,0.0029709212446778193,0.003098438165298612,0.009073976514752408
aD9,0.30120492,0.002573646892191832,0.0024620226040343736,0.00962382724899026
aD10,0.15983513,0.0006477299225315013,0.0005408862150251524,0.0036503179634219717
aD11,0.8031523,5.18183938025201e-05,5.2161970696858855e-05,0.0017819769868755524
aD12,1.1086147,8.636398967086683e-06,6.593902458061657e-06,0.0011572774615896157
aD13,0.4768484,8.636398967086683e-06,2.0294580129761466e-06,0.000446213946632812
aD14,0.85584134,0.0,6.373430169655005e-07,0.00013530358381769138
aD15,0.62968284,0.0,1.402172034136972e-08,5.18183938025201e-05
aD16,0.18688011,0.0,3.463534865538896e-09,1.4393998278477807e-05
aD17,-0.1569036,8.636398967086683e-06,1.6964939939883202e-09,5.757599311391122e-06
aD18,0.038304448,0.0,1.1319108122765993e-09,2.878799655695561e-06
aD19,-0.04840646,0.0,0.0,0.0
aD20,-0.009974252,0.0,0.0,0.0
aD21,-0.046911336,0.0,0.0,0.0
aD22,-0.041299798,0.0,0.0,0.0
aD23,-0.053177357,0.0,0.0,0.0
aD24,-0.052637685,0.0,0.0,0.0
aD-25,-0.025222115,0.0,0.0,0.0
aD-24,-0.042860392,0.0,0.0,0.0
aD-23,0.032736838,0.0,0.0,0.0
aD-22,0.04604289,0.0,0.0,0.0
aD-21,0.009434171,0.0,0.0,0.0
aD-20,-0.05979587,0.0,0.0,0.0
aD-19,0.0017111376,0.0,0.0,0.0
aD-18,0.05639528,0.0,1.2852436887666985e-10,2.878799655695561e-06
aD-17,0.080504104,0.0,3.8557310663000957e-10,8.636398967086683e-06
aD-16,0.5634844,0.0,2.794495253927064e-08,4.318199483543342e-05
aD-15,-0.08126203,8.636398967086683e-06,1.428988610526237e-08,0.00015257638175186474
aD-14,1.4642159,8.636398967086683e-06,7.885804441698445e-08,0.0004145471504201608
aD-13,0.6939987,8.636398967086683e-06,4.853057245405308e-06,0.0009759130832807953
