Feature,Energy,Marginal_data,Marginal_model,Marginal_gen
l1,-0.03548578,0.0,0.0,0.0
l2,-0.117044576,1e-06,0.0,0.0
l3,0.050051726,0.0,0.0,0.0
l4,0.5163529,2e-06,2.060610394654424e-08,3e-06
l5,0.3502607,1e-05,5.1204476103217826e-06,1.4666666666666666e-05
l6,-0.47573584,2.9e-05,1.3420330965773017e-05,0.00010033333333333334
l7,-1.0437379,0.000145,0.00019717422613654733,0.00041
l8,0.23821451,0.000312,0.00034351301368818735,0.0017446666666666667
l9,0.9460494,0.000872,0.0008975864649794326,0.005788666666666667
l10,0.8958386,0.00538,0.005580387410141015,0.016801333333333335
l11,0.09316063,0.034189,0.03439037705027289,0.04052566666666667
l12,0.052590225,0.073147,0.0733362549128318,0.07861766666666667
l13,-0.18533757,0.167183,0.16516687359083593,0.12257133333333334
l14,0.005701154,0.230538,0.23175970133019083,0.154493
l15,0.108205214,0.244918,0.24872676821565534,0.16048766666666667
l16,0.14571847,0.138617,0.1341896057040578,0.14130666666666666
l17,0.1445485,0.060531,0.06178889956647495,0.10773733333333334
l18,0.048011117,0.027205,0.02697769444998749,0.07328233333333334
l19,0.09718089,0.011254,0.011195027404268443,0.04478033333333333
l20,0.050976824,0.003699,0.003698921213668117,0.025147333333333334
l21,-0.3677693,0.001258,0.0011990276594616442,0.013318666666666666
l22,-0.87536347,0.000463,0.00039279905022959814,0.006792333333333333
l23,-0.9727813,0.000154,0.00011913162544689684,0.0032886666666666667
l24,-0.6833246,6.2e-05,2.159410564877566e-05,0.0015506666666666668
l25,0.21789387,2.3e-05,7.774303542625517e-08,0.0007193333333333333
l26,0.8657418,8e-06,1.4121117058516846e-08,0.0003066666666666667
l27,1.0058137,0.0,6.216361313803612e-09,0.000135
l28,0.68109727,0.0,2.339604078047148e-09,5.066666666666667e-05
l29,0.4270994,0.0,7.367539334878355e-10,1.6e-05
l30,0.19119889,0.0,3.0698080561993147e-10,6.666666666666667e-06
aA0,-0.02013712,0.0,0.0,0.0
aA1,0.5198154,0.953359,0.9536037288018261,0.898703
aA2,-0.009675326,0.010524,0.010506496821581647,0.065368
aA3,0.007884459,0.009263,0.009264867490019308,0.011114666666666667
aA4,0.11581317,0.035551,0.03549296167078266,0.041001666666666665
aA5,0.07398649,0.070516,0.07091069304964195,0.06953766666666666
aA6,-0.20496903,0.066474,0.06520268275550076,0.05635133333333334
aA7,-0.3683651,0.081665,0.08060500907096407,0.060069333333333336
aA8,-0.3212285,0.07044,0.06989504635717708,0.058195666666666666
aA9,-0.28236017,0.054138,0.05435548124498498,0.052582
aA10,-0.32723314,0.052112,0.05149541392467129,0.04586933333333333
aA11,-0.3040244,0.04399,0.04512575929250511,0.03870666666666667
aA12,-0.098865345,0.032001,0.032950817062457616,0.030919666666666668
aA13,0.24427997,0.01416,0.01416927475800751,0.022661333333333332
aA14,0.26883754,0.005697,0.0058561943206289985,0.015148333333333333
aA15,0.23610978,0.002096,0.0021344098761614714,0.009149
aA16,0.18980914,0.000702,0.000676078428033145,0.005163666666666667
aA17,0.40342903,0.000235,0.00020641544405851839,0.0027073333333333333
aA18,1.7464159,7.1e-05,3.9466604293044286e-05,0.001349
aA19,3.552495,2.7e-05,5.123938982709191e-06,0.000658
aA20,4.1477323,1e-05,2.26576962932576e-06,0.0002973333333333333
aA21,4.704504,3e-06,1.123107943670183e-07,0.00013166666666666668
aA22,2.3359954,1e-06,3.973009956524913e-09,7.066666666666667e-05
aA23,0.4750069,0.0,1.1818761016367361e-09,2.5666666666666666e-05
aA24,0.0947485,0.0,3.990750473059109e-10,8.666666666666666e-06
aA-25,0.86826736,8e-06,1.3860183373739904e-08,0.000301
aA-24,0.30005065,2.2e-05,7.710962639945392e-08,0.0007063333333333333
aA-23,-0.3095187,5.9e-05,2.156719893703298e-05,0.0015063333333333333
aA-22,-0.8955059,0.000152,0.00011863148059528842,0.0032036666666666667
aA-21,-0.9562472,0.00046,0.0003913979602340449,0.006624
aA-20,-0.37518984,0.001241,0.0011854438912707796,0.013021333333333333
aA-19,0.11769864,0.003672,0.0037046244863457064,0.024582333333333335
aA-18,0.5538762,0.011068,0.011091700552141443,0.04393866666666667
aA-17,0.5307359,0.026705,0.02657273572025722,0.07204766666666666
aA-16,0.37868598,0.059551,0.060880382513019166,0.10641533333333333
aA-15,0.20197544,0.136583,0.1322415309832679,0.14120766666666668
aA-14,0.015686885,0.242027,0.2458641365629964,0.163742
aA-13,-0.027482279,0.228535,0.22957448989394164,0.16438966666666666
aA-12,-0.018925866,0.172075,0.1701228260107949,0.14243933333333333
aA-11,-0.016290683,0.096921,0.09686377875741928,0.11055
aA-10,-0.020862399,0.077102,0.07730336414737837,0.08431533333333334
aA-9,-0.18361162,0.074434,0.07382550414822502,0.07020733333333333
aA-8,0.0139071755,0.076944,0.07596308921707856,0.07194733333333334
aA-7,0.09970138,0.075271,0.0742910723157566,0.06874133333333333
aA-6,0.18235007,0.070372,0.07000478104303846,0.065222
aA-5,0.3701938,0.01273,0.012728115750352636,0.012300666666666666
aA-4,0.6475186,0.004007,0.004113460194063849,0.004051333333333333
aA-3,0.277981,0.132865,0.13539396359340375,0.11389566666666667
aA-2,-0.3637965,0.000231,0.00024160815912001874,0.000238
aA-1,-0.019277398,0.0,0.0,0.0
aC0,0.1954472,1.0,1.0,1.0
aC1,2.8320284,1.3e-05,1.8082077203987416e-06,9.766666666666666e-05
aC2,-0.40366971,0.0013,0.0013972205332901204,0.00129
aC3,0.22622961,0.000851,0.0008716611032099097,0.0023726666666666666
aC4,3.9116244,0.000187,0.0001605097637098848,0.012416333333333333
aC5,3.5164323,0.000198,0.0001667324262644028,0.010540333333333334
aC6,3.3390155,0.000159,0.00012345053215048017,0.008699666666666666
aC7,3.1819115,0.000174,0.00014597024520604437,0.008328666666666667
aC8,3.1480763,0.000231,0.00020983264135618658,0.008264
aC9,2.9418507,0.000241,0.0002625521300168885,0.007381
aC10,2.416225,0.000243,0.00024630703275601705,0.005657666666666667
aC11,2.0126112,0.000161,0.00017817127105436997,0.00376
aC12,1.4270844,9.5e-05,0.00012005911235730149,0.002249
aC13,1.670668,5.4e-05,6.525947482072306e-05,0.001203
aC14,1.9292405,2.3e-05,6.571059004925803e-06,0.0006076666666666666
aC15,3.5083063,8e-06,7.843108323486393e-07,0.000302
aC16,4.026282,3e-06,3.571878577138606e-07,0.000157
aC17,2.847296,1e-06,2.0738569684670084e-07,8.066666666666667e-05
aC18,1.6804091,0.0,6.368417363059566e-08,2.9333333333333333e-05
aC19,0.22016202,0.0,5.709836795439271e-10,1.1333333333333334e-05
aC20,0.08863837,0.0,1.5349040280996573e-10,3.3333333333333333e-06
aC21,0.027313454,0.0,7.674520140498287e-11,1.6666666666666667e-06
aC22,-0.008519839,0.0,3.069808056199314e-11,6.666666666666667e-07
aC23,0.05524615,0.0,1.534904028099657e-11,3.3333333333333335e-07
aC24,0.0345874,0.0,0.0,0.0
aC-25,0.25791433,2.3e-05,7.774303542625517e-08,0.0007193333333333333
aC-24,-0.7244363,6.2e-05,2.1594136346856223e-05,0.0015513333333333334
aC-23,-0.95934176,0.000154,0.00011913174823921907,0.003291333333333333
aC-22,-0.88221705,0.000463,0.0003927992958142426,0.006797666666666666
aC-21,-0.39178777,0.001258,0.0011990285190079,0.013337333333333333
aC-20,0.038249247,0.0037,0.0036991243488503278,0.025189666666666666
aC-19,0.002425095,0.011256,0.011196521770152785,0.04486966666666667
aC-18,0.082257524,0.027209,0.02698068729411681,0.073455
aC-17,0.061301704,0.060544,0.061801641249588875,0.10810633333333333
aC-16,0.1914273,0.138645,0.13421390287746543,0.142036
