Feature,Energy,Marginal_data,Marginal_model,Marginal_gen
l1,-0.044685647,0.0,0.0,0.0
l2,0.0019609854,0.0,1.7449381225373417e-08,3.3333333333333335e-07
l3,0.05932869,1e-06,1.769045402045894e-10,2.333333333333333e-06
l4,-0.4522821,1.2e-05,6.569838948155409e-07,2.0666666666666666e-05
l5,-0.3922327,2.6e-05,7.265198075147816e-06,8.233333333333333e-05
l6,0.22067142,5.8e-05,2.3047235462725518e-05,0.00028333333333333335
l7,-3.6646655,0.002149,0.002190116398973532,0.0008086666666666666
l8,-2.1980467,0.004528,0.004812517924808237,0.0017403333333333333
l9,-1.1878198,0.005499,0.005626351491737462,0.003467333333333333
l10,-1.3264524,0.012489,0.01260453137214084,0.006209
l11,-0.9859556,0.024241,0.02366843826627592,0.010256
l12,-0.72467303,0.036818,0.0358649526666443,0.016127666666666665
l13,-0.40518153,0.059174,0.059513022400685296,0.023692333333333333
l14,-0.1636632,0.078011,0.08065490938262869,0.033055
l15,-0.1795689,0.092783,0.08680458314092977,0.043506
l16,-0.32952824,0.104849,0.10734104086649796,0.05397766666666667
l17,-0.020780208,0.099611,0.09645218927629329,0.06338666666666666
l18,-0.114363916,0.090305,0.09047108969611221,0.070828
l19,0.032525096,0.083583,0.08183592853568288,0.07569866666666666
l20,0.017262565,0.074161,0.07395352677959992,0.078021
l21,0.06135153,0.063526,0.06401645325475176,0.07741133333333333
l22,0.10674126,0.051349,0.05118768488728322,0.07347433333333334
l23,-0.0053706137,0.039655,0.042741173387680374,0.06772233333333333
l24,-0.07884537,0.028599,0.030026868250433936,0.060592
l25,-0.46960443,0.019225,0.01880455393322933,0.052070333333333337
l26,-1.0339985,0.01287,0.013251539006521837,0.043472666666666666
l27,-0.7045034,0.008423,0.008338704268675876,0.035371
l28,-0.98084784,0.005088,0.005191970208229091,0.027612666666666667
l29,-2.147127,0.002967,0.00351329352511415,0.021195666666666668
l30,10.048253,0.0,7.541196654319211e-07,0.016141
aA0,0.041753784,0.0,0.0,0.0
aA1,0.22451031,0.988667,0.986325360994252,0.8972053333333333
aA2,0.038390722,0.005488,0.006059687133710069,0.007024333333333333
aA3,0.034439195,0.078952,0.078451186078146,0.07523733333333334
aA4,-0.08093504,0.050858,0.05089346136297065,0.04848566666666667
aA5,-0.08570788,0.058552,0.058306457341852,0.05212133333333333
aA6,-0.0037539299,0.063656,0.06366233896072752,0.05619333333333333
aA7,-0.013520076,0.070501,0.06953235460842977,0.061642333333333334
aA8,0.0040370417,0.067737,0.067906961228217,0.06536533333333333
aA9,0.00578607,0.05841,0.060098012624516445,0.06878866666666666
aA10,0.15976262,0.049131,0.04959117617696701,0.07285766666666667
aA11,0.1320606,0.043515,0.04513599701364153,0.07376033333333333
