Feature	Energy
l1	-0.032445364
l2	0.04074528
l3	0.030954905
l4	0.048019737
l5	-0.014334522
l6	0.012242459
l7	0.029183608
l8	0.011255018
l9	0.021327695
l10	0.07501076
l11	0.07752633
l12	-0.022652347
l13	0.007508656
l14	-0.04772399
l15	0.01893882
l16	-0.031585246
l17	0.012502745
l18	-0.0018238764
l19	0.07920359
l20	0.0060575516
l21	-0.016656201
l22	0.055086926
l23	0.009779393
l24	0.044039793
l25	0.015513927
l26	0.017938765
l27	0.07162406
l28	-0.015265221
l29	-0.045659155
l30	-0.009937733
aA0	-0.015491974
aA1	-0.07061348
aA2	0.0083514415
aA3	0.06673172
aA4	0.08054062
aA5	0.03962103
aA6	0.010996718
aA7	-0.08060755
aA8	-0.018980613
aA9	-0.029708607
aA10	-0.06149158
aA11	-0.043343566
aA12	-0.027352182
aA13	0.048558824
aA14	0.060317703
aA15	-0.006214414
aA16	0.032454446
aA17	0.00023972237
aA18	0.041668944
aA19	-0.03369753
aA20	0.05670808
aA21	-0.040720604
aA22	-0.05162988
aA23	0.032023743
aA24	0.04969102
aA-25	0.06700816
aA-24	-0.015356972
aA-23	0.029021952
aA-22	0.0012086602
aA-21	0.061989117
aA-20	-0.021307096
aA-19	0.06901255
aA-18	-0.005055218
aA-17	0.029728362
aA-16	-2.0255975e-05
aA-15	-0.01537905
aA-14	0.0024924441
aA-13	-0.031938266
aA-12	-0.021857323
aA-11	0.053655516
aA-10	-0.018786808
aA-9	0.00698781
aA-8	-0.0162596
aA-7	-0.00865618
aA-6	-0.054485545
aA-5	0.015499642
aA-4	-0.025865356
aA-3	-0.07456913
aA-2	-0.043521523
aA-1	0.020700231
aC0	0.028207522
aC1	-0.032612234
aC2	-0.035210505
aC3	0.0298103
aC4	0.021872573
aC5	0.054312292
aC6	0.024503032
aC7	0.04834078
aC8	0.022686115
aC9	0.035779953
aC10	0.0010016835
aC11	0.028409213
aC12	0.09037203
aC13	0.0535301
aC14	0.016946888
aC15	0.046411358
aC16	0.003935403
aC17	-0.03781327
aC18	0.027152099
aC19	-0.007411438
aC20	0.00527687
aC21	-0.0128801875
aC22	0.052628182
aC23	0.0023612566
aC24	-0.023721907
aC-25	-0.0023921018
aC-24	0.068468645
aC-23	0.09153686
aC-22	0.02859608
aC-21	0.075588234
aC-20	-0.01189663
aC-19	0.07494833
aC-18	0.054621108
aC-17	-0.006509946
aC-16	0.018335374
aC-15	-0.024868295
aC-14	0.011283337
aC-13	0.0041835476
aC-12	0.027279098
aC-11	0.041097872
aC-10	0.0745065
aC-9	0.0038193846
aC-8	0.05368697
aC-7	-0.004913715
aC-6	0.039272837
aC-5	0.054302122
aC-4	0.054943718
aC-3	0.0480117
aC-2	-0.035109904
aC-1	0.04725875
aD0	0.0046182275
aD1	0.02812779
aD2	0.077891365
aD3	-0.021906147
aD4	0.03991424
aD5	-0.09036329
aD6	0.05006865
aD7	0.07695097
aD8	0.05705665
aD9	0.037914857
aD10	-0.010733392
aD11	0.024925565
aD12	0.040706124
aD13	0.08275372
aD14	0.0053458232
aD15	-0.00590968
aD16	0.020818045
aD17	0.081755646
aD18	0.06914433
aD19	0.028180555
aD20	0.026634686
aD21	-0.024903655
aD22	0.06488516
aD23	0.042601317
aD24	-0.026881723
aD-25	-0.0052109445
aD-24	0.034098804
aD-23	-0.018961314
aD-22	0.034127392
aD-21	0.039738875
aD-20	-0.02629769
aD-19	0.030964043
aD-18	0.019662263
aD-17	0.09023488
aD-16	-0.016747119
aD-15	-0.021821225
aD-14	-0.022168571
aD-13	0.07506811
aD-12	0.0368422
aD-11	0.039129823
aD-10	0.002650653
aD-9	-0.039844688
aD-8	-0.030424088
aD-7	-0.025959129
aD-6	0.030844238
aD-5	-0.07659088
aD-4	0.059218075
aD-3	0.086028665
aD-2	-0.052530568
aD-1	0.029259823
aE0	-0.008878786
aE1	0.0657579
aE2	0.07732665
aE3	-0.021267675
aE4	-0.0010243065
aE5	0.011600517
aE6	0.054061018
aE7	0.061748777
aE8	0.034703027
aE9	0.013234315
aE10	-0.0671472
aE11	2.0440566e-06
aE12	0.01597641
aE13	0.012888317
aE14	0.035154697
aE15	0.087259844
aE16	0.06472017
aE17	0.03381334
aE18	0.025176011
aE19	0.055938274
aE20	-0.013174726
aE21	0.025943715
aE22	0.049784698
aE23	-0.018319914
aE24	0.020323908
aE-25	0.048391685
aE-24	0.014760131
aE-23	-0.011287913
aE-22	-0.032220747
aE-21	0.010026827
aE-20	-0.008102307
aE-19	0.070688255
aE-18	0.022934826
aE-17	0.02852731
aE-16	0.012583049
aE-15	-0.008194209
aE-14	0.017104503
aE-13	0.086533196
aE-12	0.008717281
aE-11	-0.018703612
aE-10	-0.063466325
aE-9	0.009032644
aE-8	-0.019680131
aE-7	0.01898265
