Feature,Energy,Marginal_data,Marginal_model,Marginal_gen
l1,-0.067457944,0.0,0.0,0.0
l2,-0.032381676,0.0,0.0,0.0
l3,0.0044581443,0.0,0.0,0.0
l4,-0.6213023,7.82336578581363e-05,5.1855732227083245e-05,2.8975428836346777e-05
l5,-0.8041954,0.0003998609179415855,0.0002961176078986445,0.0002318034306907742
l6,0.74604934,0.0003998609179415855,0.0006124071242344364,0.0011010662957811775
l7,0.5207617,0.0009388038942976356,0.0010727571777431617,0.004694019471488178
l8,1.4878123,0.000782336578581363,0.001201953107581581,0.014192165044042651
l9,2.2134643,0.0017124478442280945,0.002634943037114179,0.03676112656467316
l10,0.92502767,0.01739394993045897,0.018917745678281875,0.08661914696337505
l11,-0.29404753,0.15267732962447844,0.15529458374118163,0.145955030134446
l12,-0.26654178,0.3114047287899861,0.3113090767874748,0.19423099211868336
l13,-0.3063967,0.3556415159944367,0.3512455777310265,0.19741539174779787
l14,-0.085042946,0.12754694019471488,0.12575080461277527,0.14554357904496987
l15,0.05307103,0.028207579972183587,0.028906807218072206,0.08480238757533612
l16,0.37397623,0.002338317107093185,0.002317334608906139,0.04402816411682893
l17,0.2757919,0.0003129346314325452,0.0002929880972646658,0.022024223458507186
l18,0.62861794,7.82336578581363e-05,5.315358999703785e-05,0.0107035234121465
l19,0.41594905,3.4770514603616136e-05,1.2571882413986369e-05,0.005238757533611497
l20,0.34794903,2.60778859527121e-05,2.3420016625643187e-05,0.0027178952248493276
l21,0.4804513,8.692628650904034e-06,5.048083266316085e-06,0.001599443671766342
l22,0.29119733,8.692628650904034e-06,7.902596139839892e-07,0.0011039638386648122
l23,0.9497669,8.692628650904034e-06,3.89450668239744e-08,0.0006142790913305516
l24,0.70037,0.0,1.695411590080678e-08,0.00027526657394529437
l25,0.39200985,0.0,5.99474128633642e-09,9.27213722763097e-05
l26,0.23736602,0.0,9.326405437895945e-10,2.0282800185442744e-05
l27,0.08390685,0.0,9.43178828962482e-10,2.897542883634678e-06
l28,0.12540954,0.0,1.3646841119375808e-10,2.897542883634678e-06
l29,0.062231183,0.0,0.0,0.0
l30,0.056876376,0.0,0.0,0.0
aA0,0.03433691,0.0,0.0,0.0
aA1,0.266522,0.09790507649513212,0.09724660764468604,0.10432892906815021
aA2,0.1744238,0.1814760083449235,0.18567267945574087,0.17872334260547057
aA3,0.58854485,0.046601182197496524,0.04822935328574433,0.05894471488178025
