Feature,Energy,Marginal_data,Marginal_model,Marginal_gen
l1,0.006683314,0.0,0.0,0.0
l2,-0.021063752,0.0,0.0,0.0
l3,-0.33368668,5.700441784238278e-05,0.0,0.0
l4,-0.44268638,0.00011400883568476557,7.145698809256248e-06,3.800294522825519e-06
l5,-0.6094775,0.00021851693506246735,5.4128408144660315e-05,2.850220892119139e-05
l6,-0.43024278,0.0004085316612037433,0.0002441442321821586,0.00019001472614127595
l7,-0.43363675,0.0007600589045651038,0.0005675725059018759,0.0007600589045651038
l8,-0.15518053,0.001453612654980761,0.001316851968173805,0.0023029784808322644
l9,-0.25087118,0.0037527908412902,0.0035153276994559215,0.007513182271626051
l10,-0.058272537,0.014517125077193483,0.014618775236725473,0.025144648710275046
l11,0.13231644,0.04604056814403116,0.047103776503157016,0.07066077621015629
l12,0.046479993,0.14602631703957056,0.14877740425096755,0.14782575649612845
l13,-0.111472405,0.28561113486295187,0.2854719549876937,0.2209529238515985
l14,-0.11575376,0.303054486722721,0.30661591745643646,0.23116431523443068
l15,0.008486643,0.14003135242981332,0.13531979310192127,0.16729086504204077
l16,0.16941711,0.045888556363118144,0.045214041594589506,0.08461355755071018
l17,0.11013048,0.010545817300840815,0.00996212815374768,0.030529666049118807
l18,0.15896282,0.0013776067645242507,0.001152416173510304,0.008100327775402594
l19,0.1526184,0.00011400883568476557,5.7811778744409994e-05,0.0020027552135290483
l20,1.1048473,0.0,6.807769003856875e-08,0.000560543442116764
l21,0.43549588,1.9001472614127595e-05,5.640902270889916e-07,0.00022801767136953113
l22,0.66512185,0.0,4.65318667943623e-08,8.360647950216142e-05
l23,0.43066606,0.0,2.8300261227661703e-08,3.610279796684243e-05
l24,0.1795434,9.500736307063798e-06,1.0324979184922013e-07,7.600589045651038e-06
l25,0.029437913,0.0,0.0,0.0
l26,0.023081424,0.0,0.0,0.0
l27,-0.018462108,0.0,0.0,0.0
l28,-0.028347397,0.0,0.0,0.0
l29,0.022669544,0.0,0.0,0.0
l30,0.013007255,0.0,0.0,0.0
aA0,-0.66652143,0.00020901619875540354,0.0,0.0
aA1,0.07354322,0.9245546529856064,0.9278906634377286,0.9243437366395896
aA2,-0.23079984,0.29388627618640445,0.295141761365254,0.20184124269630896
aA3,0.18815404,0.03315756971165265,0.0328667696510986,0.03505201653128118
aA4,0.18718047,0.10674077240986177,0.10624094041358652,0.11561065982613652
aA5,0.015262343,0.05488575364590756,0.05394898110427366,0.05784428293192723
aA6,-0.16993259,0.06348392000380029,0.06361809138463248,0.059736829604294335
aA7,-0.22254369,0.07988219086979241,0.07925809203892327,0.06697069022849271
aA8,-0.2578897,0.09163460168163033,0.08909318799609081,0.07168685573131918
aA9,-0.04893889,0.06476651940525391,0.06371966143460932,0.0600446534606432
aA10,-0.046021365,0.03412664481497316,0.03366740754084108,0.03849128307443827
aA11,0.026096854,0.011362880623248302,0.0108737712172497,0.019014773644957485
aA12,0.216265,0.0020901619875540356,0.0018477600830203549,0.00708564913780818
aA13,0.35295767,0.00029452282551897774,0.00021206562176225369,0.0018013396038192959
aA14,0.1797476,5.700441784238278e-05,1.9444744089371904e-05,0.00040093107215809226
aA15,0.34286353,9.500736307063798e-06,1.2721562435404662e-06,0.0001406108973445442
aA16,0.59118897,0.0,7.592352624098442e-08,6.460500688803383e-05
aA17,0.12842238,0.0,4.874117985872253e-09,7.600589045651038e-06
aA18,0.11117238,9.500736307063798e-06,6.534074754066951e-09,3.800294522825519e-06
aA19,0.023091493,0.0,0.0,0.0
aA20,-0.015162595,0.0,0.0,0.0
aA21,0.0017878767,0.0,0.0,0.0
aA22,0.021892978,0.0,0.0,0.0
aA23,0.025745643,0.0,0.0,0.0
aA24,0.0013521742,0.0,0.0,0.0
aA-25,-0.021820828,0.0,0.0,0.0
aA-24,-0.0074068494,0.0,0.0,0.0
aA-23,0.1791335,0.0,1.0324979184922013e-07,7.600589045651038e-06
aA-22,0.44169617,0.0,2.30860696556258e-08,3.420265070542967e-05
aA-21,0.6197855,0.0,4.114910999861285e-08,7.600589045651038e-05
aA-20,0.42280003,9.500736307063798e-06,5.475462900710417e-07,0.00023181796589235665
aA-19,1.1157857,9.500736307063798e-06,1.197488722030354e-07,0.0005491425585482875
aA-18,0.48801672,6.650515414944659e-05,4.6287297081288835e-05,0.0019172485867654744
aA-17,0.2685176,0.001073583202698209,0.0009674932016480231,0.007598688898389625
aA-16,0.22791629,0.008921191392332906,0.008448152958469525,0.028756828654220704
